iter,bad_orientation,base_height,total_falls,rolling50_falls,mean_reward,mean_episode_length,terrain_levels
247,135.2083,0.0000,135.2083,163.1275,-0.4800,28.3500,0.0000
248,137.1250,0.0000,137.1250,162.5092,-0.5600,29.8000,0.0000
249,133.0000,0.0000,133.0000,161.8450,-0.4700,28.2200,0.0000
250,136.0000,0.0000,136.0000,161.0092,-0.5700,29.7400,0.0000
251,134.7917,0.0000,134.7917,160.2833,-0.5100,30.0100,0.0000
252,130.8750,0.3333,131.2083,159.4250,-0.4600,34.3900,0.0000
253,133.0417,0.0417,133.0834,158.5917,-0.5800,31.1900,0.0000
254,134.6250,0.0000,134.6250,157.8058,-0.4200,29.8400,0.0000
255,132.8333,0.0000,132.8333,157.0075,-0.5000,29.3700,0.0000
256,127.2917,0.0000,127.2917,156.1450,-0.4300,33.4400,0.0000
257,127.5833,0.0000,127.5833,155.3050,-0.3800,31.6100,0.0000
258,127.2500,0.0000,127.2500,154.5100,-0.4500,32.7400,0.0000
259,126.4583,0.0000,126.4583,153.6950,-0.3100,33.7300,0.0000
260,132.3750,0.0000,132.3750,152.9817,-0.3900,33.2600,0.0000
261,130.2083,0.0000,130.2083,152.2342,-0.5000,31.9200,0.0000
262,124.8750,0.0000,124.8750,151.3742,-0.7500,31.0100,0.0000
263,127.7500,0.2917,128.0417,150.5708,-0.5600,31.3500,0.0000
264,128.7917,0.0417,128.8334,149.7583,-0.5600,32.5700,0.0000
265,126.6250,0.0000,126.6250,148.9117,-0.4100,31.3500,0.0000
266,121.5000,0.0000,121.5000,147.8992,-0.4300,31.5200,0.0000
267,122.1667,0.0000,122.1667,146.8725,-0.4800,34.9900,0.0000
268,116.7083,0.0417,116.7500,145.8050,-0.5200,34.3200,0.0000
269,115.1250,0.0000,115.1250,144.6908,-0.3600,35.4400,0.0000
270,114.1250,0.0000,114.1250,143.6342,-0.4800,36.4100,0.0000
271,118.4167,0.0000,118.4167,142.6050,-0.5600,37.1900,0.0000
272,120.1250,0.0417,120.1667,141.6092,-0.4200,35.6600,0.0000
273,116.9167,0.5417,117.4584,140.6308,-0.6600,35.6200,0.0000
274,117.0417,0.2083,117.2500,139.6842,-0.5400,32.7800,0.0000
275,119.2083,0.0833,119.2916,138.6717,-0.2000,32.0300,0.0000
276,118.1250,0.0000,118.1250,137.6825,-0.2900,35.4900,0.0000
277,116.3750,0.0000,116.3750,136.6700,-0.4600,35.1900,0.0000
278,113.8750,0.0000,113.8750,135.5842,-0.3700,36.1300,0.0000
279,111.6250,0.0417,111.6667,134.5233,-0.4900,35.7800,0.0000
280,109.9583,0.0417,110.0000,133.5550,-0.3800,38.1800,0.0000
281,105.5000,0.0833,105.5833,132.4517,-0.5000,38.5700,0.0000
282,104.0833,0.1250,104.2083,131.2750,-0.4800,38.6400,0.0000
283,103.0000,0.5000,103.5000,130.1208,-0.7100,41.0000,0.0000
284,99.2917,0.5833,99.8750,128.9067,-0.6400,45.0400,0.0000
285,92.6667,0.1667,92.8334,127.5708,-0.5100,39.9400,0.0000
286,92.9583,0.1250,93.0833,126.3025,-0.2900,42.6400,0.0000
287,94.7500,0.2083,94.9583,125.0467,-0.5200,42.2700,0.0000
288,90.1250,0.0417,90.1667,123.7958,-0.2900,46.4900,0.0000
289,93.1667,0.0833,93.2500,122.6958,-0.2500,45.0000,0.0000
290,92.4583,0.0833,92.5416,121.4817,-0.4100,44.5900,0.0000
291,89.6250,0.1250,89.7500,120.3958,-0.5000,45.0600,0.0000
292,93.0417,0.1250,93.1667,119.2500,-0.3900,43.1500,0.0000
293,100.8333,0.1250,100.9583,118.3100,-0.4900,46.0600,0.0000
294,89.7083,0.8750,90.5833,117.2325,-0.7500,44.2700,0.0000
295,93.4167,0.4167,93.8334,116.3067,-0.2700,42.2800,0.0000
296,94.5417,0.1250,94.6667,115.4533,-0.5600,43.6500,0.0000
297,92.0833,0.0417,92.1250,114.5917,-0.4900,46.2500,0.0000
298,93.0000,0.2083,93.2083,113.7133,-0.3400,42.5200,0.0000
299,92.2917,0.0000,92.2917,112.8992,-0.3600,44.2400,0.0000
300,89.4583,0.0833,89.5416,111.9700,-0.1600,43.3100,0.0000
301,90.4583,0.0833,90.5416,111.0850,-0.4000,46.2400,0.0000
302,86.7917,0.0417,86.8334,110.1975,-0.1000,44.2000,0.0000
303,91.4167,0.1667,91.5834,109.3675,-0.6800,45.0600,0.0000
304,94.0833,0.5000,94.5833,108.5667,-0.6300,46.9500,0.0000
305,96.4583,0.3750,96.8333,107.8467,-0.4500,41.9000,0.0000
306,89.0417,0.0000,89.0417,107.0817,-0.4900,42.4300,0.0000
307,93.5417,0.1250,93.6667,106.4033,-0.1900,45.6500,0.0000
308,93.2500,0.0833,93.3333,105.7250,-0.2900,43.4000,0.0000
309,93.7500,0.1250,93.8750,105.0733,-0.5300,45.0700,0.0000
310,91.5833,0.0833,91.6666,104.2592,-0.3100,45.2000,0.0000
311,93.2083,0.0417,93.2500,103.5200,-0.5200,44.5900,0.0000
312,90.2083,0.0833,90.2916,102.8283,-0.4800,45.8500,0.0000
313,89.9583,0.1667,90.1250,102.0700,-0.3400,46.0300,0.0000
314,98.9167,0.0417,98.9584,101.4725,-0.6000,42.6500,0.0000
315,82.3750,0.5000,82.8750,100.5975,-0.3200,44.4800,0.0000
316,94.5417,0.0833,94.6250,100.0600,-0.5300,45.8300,0.0000
317,89.7500,0.0833,89.8333,99.4133,-0.5200,44.4700,0.0000
318,94.2083,0.0417,94.2500,98.9633,-0.3500,44.4200,0.0000
319,91.3333,0.0000,91.3333,98.4875,-0.1500,43.3400,0.0000
320,91.3333,0.0000,91.3333,98.0317,-0.3100,43.0800,0.0000
321,92.7917,0.1250,92.9167,97.5217,-0.3000,44.2900,0.0000
322,90.0000,0.0417,90.0417,96.9192,-0.3900,45.5800,0.0000
323,90.1250,0.0000,90.1250,96.3725,-0.3000,46.1100,0.0000
324,92.1250,0.0417,92.1667,95.8708,-0.6500,44.6300,0.0000
325,89.6667,0.5000,90.1667,95.2883,-0.6400,45.1500,0.0000
326,91.9583,0.2917,92.2500,94.7708,-0.5500,45.8900,0.0000
327,84.6667,0.1250,84.7917,94.1392,-0.3200,47.8700,0.0000
328,89.7500,0.1250,89.8750,93.6592,-0.5300,49.2900,0.0000
329,87.3333,0.0000,87.3333,93.1725,-0.3700,47.4200,0.0000
330,89.4583,0.0833,89.5416,92.7633,-0.4500,47.7500,0.0000
331,84.0833,0.1250,84.2083,92.3358,-0.4300,44.8300,0.0000
332,85.6667,0.0417,85.7084,91.9658,-0.3900,48.9400,0.0000
333,81.2083,0.0000,81.2083,91.5200,-0.5700,49.1000,0.0000
334,83.5833,0.0833,83.6666,91.1958,-0.7300,51.0900,0.0000
335,95.6250,0.0833,95.7083,91.2533,-0.6600,45.5300,0.0000
336,77.0417,0.8333,77.8750,90.9492,-0.6600,48.2100,0.0000
337,91.0833,0.1250,91.2083,90.8742,-0.4400,47.3900,0.0000
338,83.4167,0.0000,83.4167,90.7392,-0.5500,45.4300,0.0000
339,87.2083,0.0833,87.2916,90.6200,-0.7400,47.9900,0.0000
340,85.0833,0.0000,85.0833,90.4708,-0.2900,46.2800,0.0000
341,82.2500,0.0000,82.2500,90.3208,-0.6800,49.0100,0.0000
342,83.4583,0.0417,83.5000,90.1275,-0.6400,49.6800,0.0000
343,78.8333,0.0417,78.8750,89.6858,-0.4600,50.7000,0.0000
344,82.8333,0.1250,82.9583,89.5333,-0.3200,47.7700,0.0000
345,87.5833,0.0417,87.6250,89.4092,-0.7200,43.1200,0.0000
346,88.3333,0.2917,88.6250,89.2883,-0.6300,50.3600,0.0000
347,83.3333,0.1250,83.4583,89.1150,-0.4100,49.0600,0.0000
348,86.5417,0.0833,86.6250,88.9833,-0.4700,47.8500,0.0000
349,84.6667,0.0000,84.6667,88.8308,-0.4000,47.9200,0.0000
350,87.5000,0.1667,87.6667,88.7933,-0.3500,46.9900,0.0000
351,89.7500,0.0417,89.7917,88.7783,-0.5500,47.3300,0.0000
352,89.2083,0.0417,89.2500,88.8267,-0.3700,45.0900,0.0000
353,89.0417,0.0000,89.0417,88.7758,-0.4600,46.0000,0.0000
354,88.4583,0.0417,88.5000,88.6542,-0.5800,46.0500,0.0000
355,86.0000,0.0417,86.0417,88.4383,-0.3600,45.2100,0.0000
356,97.9583,0.0833,98.0416,88.6183,-0.5700,48.1400,0.0000
357,82.2500,0.4167,82.6667,88.3983,-0.3100,42.8500,0.0000
358,92.1667,0.0833,92.2500,88.3767,-0.3100,47.3100,0.0000
359,86.9583,0.0417,87.0000,88.2392,-0.3900,47.1800,0.0000
360,92.7083,0.0000,92.7083,88.2600,-0.3900,45.7200,0.0000
361,88.2083,0.0417,88.2500,88.1600,-0.5800,45.3600,0.0000
